cp1,cp2,age
0D62,0D63,5.1
0D66,0D6F,1.1
0D70,0D75,5.1
0D76,0D78,9.0
0D79,0D7F,5.1
0D81,0D81,13.0
0D82,0DDF,3.0
0DE6,0DEF,7.0
0DF2,0DF4,3.0
0E01,0E84,1.1
0E86,0E86,12.0
0E87,0E88,1.1
0E89,0E89,12.0
0E8A,0E8A,1.1
0E8C,0E8C,12.0
0E8D,0E8D,1.1
0E8E,0E93,12.0
0E94,0E97,1.1
0E98,0E98,12.0
0E99,0E9F,1.1
0EA0,0EA0,12.0
0EA1,0EA7,1.1
0EA8,0EA9,12.0
0EAA,0EAB,1.1
0EAC,0EAC,12.0
0EAD,0EB9,1.1
0EBA,0EBA,12.0
0EBB,0ECD,1.1
0ECE,0ECE,15.0
0ED0,0EDD,1.1
0EDE,0EDF,6.1
0F00,0F69,2.0
0F6A,0F6A,3.0
0F6B,0F6C,5.1
0F71,0F8B,2.0
0F8C,0F8F,6.0
0F90,0F95,2.0
0F96,0F96,3.0
0F97,0FAD,2.0
0FAE,0FB0,3.0
0FB1,0FB7,2.0
0FB8,0FB8,3.0
0FB9,0FB9,2.0
0FBA,0FCC,3.0
0FCE,0FCE,5.1
0FCF,0FCF,3.0
0FD0,0FD1,4.1
0FD2,0FD4,5.1
0FD5,0FD8,5.2
0FD9,0FDA,6.0
1000,1021,3.0
1022,1022,5.1
1023,1027,3.0
1028,1028,5.1
1029,102A,3.0
102B,102B,5.1
102C,1032,3.0
1033,1035,5.1
1036,1039,3.0
103A,103F,5.1
1040,1059,3.0
105A,1099,5.1
109A,109D,5.2
109E,109F,5.1
10A0,10C5,1.1
10C7,10CD,6.1
10D0,10F6,1.1
10F7,10F8,3.2
10F9,10FA,4.1
10FB,10FB,1.1
10FC,10FC,4.1
10FD,10FF,6.1
1100,1159,1.1
115A,115E,5.2
115F,11A2,1.1
11A3,11A7,5.2
11A8,11F9,1.1
11FA,11FF,5.2
1200,1206,3.0
1207,1207,4.1
1208,1246,3.0
1247,1247,4.1
1248,1286,3.0
1287,1287,4.1
1288,12AE,3.0
12AF,12AF,4.1
12B0,12CE,3.0
12CF,12CF,4.1
12D0,12EE,3.0
12EF,12EF,4.1
12F0,130E,3.0
130F,130F,4.1
1310,131E,3.0
131F,131F,4.1
1320,1346,3.0
1347,1347,4.1
1348,135A,3.0
135D,135E,6.0
135F,1360,4.1
1361,137C,3.0
1380,1399,4.1
13A0,13F4,3.0
13F5,13FD,8.0
1400,1400,5.2
1401,1676,3.0
1677,167F,5.2
1680,16F0,3.0
16F1,16F8,7.0
1700,170C,3.2
170D,170D,14.0
170E,1714,3.2
1715,171F,14.0
1720,1773,3.2
1780,17DC,3.0
17DD,17DD,4.0
17E0,17E9,3.0
17F0,17F9,4.0
1800,180E,3.0
180F,180F,14.0
1810,1877,3.0
1878,1878,11.0
1880,18A9,3.0
18AA,18AA,5.1
18B0,18F5,5.2
1900,191C,4.0
191D,191E,7.0
1920,1974,4.0
1980,19A9,4.1
19AA,19AB,5.2
19B0,19D9,4.1
19DA,19DA,5.2
19DE,19DF,4.1
19E0,19FF,4.0
1A00,1A1F,4.1
1A20,1AAD,5.2
1AB0,1ABE,7.0
1ABF,1AC0,13.0
1AC1,1ACE,14.0
1B00,1B4B,5.0
1B4C,1B4C,14.0
1B50,1B7C,5.0
1B7D,1B7E,14.0
1B80,1BAA,5.1
1BAB,1BAD,6.1
1BAE,1BB9,5.1
1BBA,1BBF,6.1
1BC0,1BFF,6.0
1C00,1C7F,5.1
1C80,1C88,9.0
1C90,1CBF,11.0
1CC0,1CC7,6.1
1CD0,1CF2,5.2
1CF3,1CF6,6.1
1CF7,1CF7,10.0
1CF8,1CF9,7.0
1CFA,1CFA,12.0
1D00,1D6B,4.0
1D6C,1DC3,4.1
1DC4,1DCA,5.0
1DCB,1DE6,5.1
1DE7,1DF5,7.0
1DF6,1DF9,10.0
1DFA,1DFA,14.0
1DFB,1DFB,9.0
1DFC,1DFC,6.0
1DFD,1DFD,5.2
1DFE,1DFF,5.0
1E00,1E9A,1.1
1E9B,1E9B,2.0
1E9C,1E9F,5.1
1EA0,1EF9,1.1
1EFA,1EFF,5.1
1F00,202E,1.1
202F,202F,3.0
2030,2046,1.1
2047,2047,3.2
2048,204D,3.0
204E,2052,3.2
2053,2054,4.0
2055,2056,4.1
2057,2057,3.2
2058,205E,4.1
205F,2063,3.2
2064,2064,5.1
2066,2069,6.3
206A,2070,1.1
2071,2071,3.2
2074,208E,1.1
2090,2094,4.1
2095,209C,6.0
20A0,20AA,1.1
20AB,20AB,2.0
20AC,20AC,2.1
20AD,20AF,3.0
