cp1,cp2,age
1F6F9,1F6F9,11.0
1F6FA,1F6FA,12.0
1F6FB,1F6FC,13.0
1F700,1F773,6.0
1F774,1F77F,15.0
1F780,1F7D4,7.0
1F7D5,1F7D8,11.0
1F7D9,1F7D9,15.0
1F7E0,1F7EB,12.0
1F7F0,1F7F0,14.0
1F800,1F8AD,7.0
1F8B0,1F8B1,13.0
1F900,1F90B,10.0
1F90C,1F90C,13.0
1F90D,1F90F,12.0
1F910,1F918,8.0
1F919,1F91E,9.0
1F91F,1F91F,10.0
1F920,1F927,9.0
1F928,1F92F,10.0
1F930,1F930,9.0
1F931,1F932,10.0
1F933,1F93E,9.0
1F93F,1F93F,12.0
1F940,1F94B,9.0
1F94C,1F94C,10.0
1F94D,1F94F,11.0
1F950,1F95E,9.0
1F95F,1F96B,10.0
1F96C,1F970,11.0
1F971,1F971,12.0
1F972,1F972,13.0
1F973,1F976,11.0
1F977,1F978,13.0
1F979,1F979,14.0
1F97A,1F97A,11.0
1F97B,1F97B,12.0
1F97C,1F97F,11.0
1F980,1F984,8.0
1F985,1F991,9.0
1F992,1F997,10.0
1F998,1F9A2,11.0
1F9A3,1F9A4,13.0
1F9A5,1F9AA,12.0
1F9AB,1F9AD,13.0
1F9AE,1F9AF,12.0
1F9B0,1F9B9,11.0
1F9BA,1F9BF,12.0
1F9C0,1F9C0,8.0
1F9C1,1F9C2,11.0
1F9C3,1F9CA,12.0
1F9CB,1F9CB,13.0
1F9CC,1F9CC,14.0
1F9CD,1F9CF,12.0
1F9D0,1F9E6,10.0
1F9E7,1F9FF,11.0
1FA00,1FA53,12.0
1FA60,1FA6D,11.0
1FA70,1FA73,12.0
1FA74,1FA74,13.0
1FA75,1FA77,15.0
1FA78,1FA7A,12.0
1FA7B,1FA7C,14.0
1FA80,1FA82,12.0
1FA83,1FA86,13.0
1FA87,1FA88,15.0
1FA90,1FA95,12.0
1FA96,1FAA8,13.0
1FAA9,1FAAC,14.0
1FAAD,1FAAF,15.0
1FAB0,1FAB6,13.0
1FAB7,1FABA,14.0
1FABB,1FABF,15.0
1FAC0,1FAC2,13.0
1FAC3,1FAC5,14.0
1FACE,1FACF,15.0
1FAD0,1FAD6,13.0
1FAD7,1FAD9,14.0
1FADA,1FADB,15.0
1FAE0,1FAE7,14.0
1FAE8,1FAE8,15.0
1FAF0,1FAF6,14.0
1FAF7,1FAF8,15.0
1FB00,1FBF9,13.0
20000,2A6D6,3.1
2A6D7,2A6DD,13.0
2A6DE,2A6DF,14.0
2A700,2B734,5.2
2B735,2B738,14.0
2B739,2B739,15.0
2B740,2B81D,6.0
2B820,2CEA1,8.0
2CEB0,2EBE0,10.0
2EBF0,2EE5D,15.1
2F800,2FA1D,3.1
30000,3134A,13.0
31350,323AF,15.0
E0001,E007F,3.1
E0100,E01EF,4.0
F0000,FFFFD,2.0
100000,10FFFD,2.0
